report_id,outcome,num_ppl_fined,fine,num_ppl_arrested,prison_time,prison_time_unit
MOR29750,Confiscation,0,0.0,0,0.0,N/A
MOR39461,Charged - No further details,0,0.0,0,0.0,N/A
MOR33556,Confiscation,0,0.0,0,0.0,N/A
MOR10876,Conviction - court fine & imprisonment,1,2728.1,0,12.0,Months
MOR20746,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR28569,Confiscation,0,0.0,0,0.0,N/A
MOR28853,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR31581,Confiscation,0,0.0,0,0.0,N/A
MOR8141,Confiscation & arrest,0,0.0,6,0.0,N/A
MOR35372,Confiscation,0,0.0,0,0.0,N/A
MOR37054,Conviction - court fine or imprisonment,0,0.0,2,32.0,Years
MOR25335,Confiscation,0,0.0,0,0.0,N/A
MOR15659,Case discontinued,0,0.0,1,0.0,N/A
MOR30636,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR14756,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR46282,Confiscation,0,0.0,0,0.0,N/A
MOR16116,Confiscation,0,0.0,0,0.0,N/A
MOR43279,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR43762,Confiscation,0,0.0,0,0.0,N/A
MOR7128,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR20989,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR15325,Charged - No further details,0,0.0,1,0.0,N/A
MOR18741,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR8155,Confiscation & arrest,0,0.0,3,0.0,N/A
MOR12022,Abscond,0,0.0,0,0.0,N/A
MOR7105,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR13039,Conviction - court fine & imprisonment,1,3518.0,0,2.0,Years
MOR7129,Investigation ongoing,0,0.0,0,0.0,N/A
MOR43518,Confiscation,0,0.0,0,0.0,N/A
MOR12339,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR18826,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR48772,Confiscation & arrest,0,0.0,10,0.0,N/A
MOR11028,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR10934,Arrest,0,0.0,0,0.0,N/A
MOR50978,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR23437,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR15055,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR40612,No details given,0,0.0,0,0.0,N/A
MOR34732,Confiscation,0,0.0,0,0.0,N/A
MOR49956,Confiscation,0,0.0,0,0.0,N/A
MOR12044,Investigation ongoing,0,0.0,0,0.0,N/A
MOR10335,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR31779,Confiscation,0,0.0,0,0.0,N/A
MOR39892,Charged - Pending court case,0,0.0,1,0.0,N/A
MOR20828,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR54796,Charged - Bail granted,0,0.0,4,0.0,N/A
MOR41752,Confiscation,0,0.0,0,0.0,N/A
MOR33339,Confiscation,0,0.0,0,0.0,N/A
MOR51315,Confiscation,0,0.0,0,0.0,N/A
MOR36658,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR28049,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR33564,Confiscation,0,0.0,0,0.0,N/A
MOR55333,Confiscation,0,0.0,0,0.0,N/A
MOR26730,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR29722,Confiscation,0,0.0,0,0.0,N/A
MOR48758,Confiscation,0,0.0,0,0.0,N/A
MOR35417,Confiscation,0,0.0,0,0.0,N/A
MOR55332,Confiscation,0,0.0,0,0.0,N/A
MOR14328,Confiscation,0,0.0,0,0.0,N/A
MOR25325,Confiscation,0,0.0,0,0.0,N/A
MOR14092,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR43219,Confiscation & arrest,0,0.0,4,0.0,N/A
MOR28999,Confiscation,0,0.0,0,0.0,N/A
MOR13225,Confiscation,0,0.0,0,0.0,N/A
MOR31554,Confiscation,0,0.0,0,0.0,N/A
MOR12848,Confiscation,0,0.0,0,0.0,N/A
MOR27346,Confiscation,0,0.0,0,0.0,N/A
MOR35909,Confiscation,0,0.0,0,0.0,N/A
MOR28483,Conviction - court fine & imprisonment,1,4235.669921875,0,30.0,Months
MOR29026,Charged - No further details,0,0.0,0,0.0,N/A
MOR20774,Confiscation,0,0.0,0,0.0,N/A
MOR32342,Confiscation,0,0.0,0,0.0,N/A
MOR25781,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR22375,Charged - No further details,0,14786800.0,0,0.0,N/A
MOR39987,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR27845,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR50152,Confiscation,0,0.0,0,0.0,N/A
MOR50679,Confiscation & arrest,0,0.0,1,0.0,N/A
MOR16124,-,0,0.0,0,0.0,N/A
MOR32824,Confiscation,0,0.0,0,0.0,N/A
MOR48382,Confiscation & arrest,0,0.0,5,0.0,N/A
MOR8048,Conviction,0,0.0,0,0.0,N/A
MOR28716,Confiscation & arrest,0,0.0,0,0.0,N/A
MOR31453,Confiscation,0,0.0,0,0.0,N/A
MOR48383,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR22420,No details given,0,0.0,0,0.0,N/A
MOR37121,Confiscation & arrest,0,0.0,2,0.0,N/A
MOR44161,Confiscation,0,0.0,0,0.0,N/A
