ENFORCEMENT_SPACE_CODE,LOCATION_DESCRIPTION,SITE_CODE,ACTIVE_STATUS,CAMERA_STATUS,START_DATE,END_DATE,DEVICE_MOBILITY,ENFORCEMENT_TYPE,SPEED_LIMIT,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,OBJECTID,GLOBALID,WARD,ANC,SMD
ATE 0205,3100 BLK N CAPITOL ST NE N/B,8408,Retired,Idle,2019/06/01 04:00:00+00,,,Speed,40,,,,,151785,{27076D15-FC2E-778E-E063-782F520A63DA},,,
ATE 0206,3100 BLK S DAKOTA AVE NE SE/B,1537,Active,Live,2024/02/09 05:00:00+00,,,Speed,25,38.93015,-76.97044,402563.25043739,140251.75357555,151786,{27076D15-FC2F-778E-E063-782F520A63DA},5.0,5C,5C07
ATE 0207,3200 BLK ALABAMA AVE SE W/B,1703,Active,Live,2023/08/11 04:00:00+00,,,Speed,25,38.861806,-76.961341,403355.41172234,132665.32373127,151787,{27076D15-FC30-778E-E063-782F520A63DA},7.0,7B,7B02
ATE 0208,3200 BLK FORT LINCOLN DRIVE NE S/B,1522,Active,Live,2024/03/06 05:00:00+00,,,Speed,25,38.92352,-76.95882,403571.11982649,139516.15738789,151788,{27076D15-FC31-778E-E063-782F520A63DA},5.0,5C,5C01
ATE 0209,3300 BLK CONNECTICUT AVE NW S/B,1310,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,25,38.93416,-77.05783,394986.19199545,140698.07160542,151789,{27076D15-FC32-778E-E063-782F520A63DA},3.0,3C,3C05
ATE 0210,3300 BLK E CAPITOL ST NE W/B,9508,Retired,Idle,2019/11/12 05:00:00+00,,,Speed,40,,,,,151790,{27076D15-FC33-778E-E063-782F520A63DA},,,
ATE 0211,3300 BLK MINNESOTA AVE SE S/B,1745,Active,Live,2024/03/27 04:00:00+00,,Fixed,Speed,25,38.8824,-76.9583,403618.29675275,134951.52712614,151791,{27076D15-FC34-778E-E063-782F520A63DA},7.0,7F,7F06
ATE 0212,3300 BLK NEW YORK AVE NE E/B,1521,Active,Live,2024/03/06 05:00:00+00,,,Speed,45,38.91677,-76.96059,403417.95732075,138766.78300726,151792,{27076D15-FC35-778E-E063-782F520A63DA},5.0,5C,5C04
ATE 0213,3400 BLK 34TH ST NW N/B,8216,Retired,Idle,2015/04/19 04:00:00+00,,,Speed,25,,,,,151793,{27076D15-FC36-778E-E063-782F520A63DA},,,
ATE 0215,3400 BLK GEORGIA AVE NW N/B,9434,Retired,Idle,2023/01/09 05:00:00+00,,,Speed,30,,,,,151794,{27076D15-FC37-778E-E063-782F520A63DA},,,
ATE 0216,3400 BLK GEORGIA AVE NW S/B,1127,Active,Live,2024/04/04 04:00:00+00,,,Speed,30,38.93281,-77.02387,397930.5628722,140546.89225896,151795,{27076D15-FC38-778E-E063-782F520A63DA},1.0,1E,1E03
ATE 0217,3400 BLK MLK JR. AVE SE SW/B,1808,Active,Live,2023/12/22 05:00:00+00,,,Speed,25,38.841437,-77.003563,399690.86384358,130403.51636895,151796,{27076D15-FC39-778E-E063-782F520A63DA},8.0,8C,8C04
ATE 0218,3400 BLK WHEELER ROAD SE S/B,1809,Active,Live,2023/12/22 05:00:00+00,,,Speed,25,38.840749,-76.993776,400540.5280411,130327.15600011,151797,{27076D15-FC3A-778E-E063-782F520A63DA},8.0,8C,8C07
ATE 0219,34TH ST N/B @ QUEBEC PL NW,9214,Retired,Idle,2023/01/22 05:00:00+00,,,Speed,25,,,,,151798,{27076D15-FC3B-778E-E063-782F520A63DA},,,
ATE 0222,3500 BLK MINNESOTA AVE SE N/B,1746,Active,Live,2024/03/29 04:00:00+00,,Fixed,Speed,25,38.88601,-76.95559,403853.235609,135352.37570852,151799,{27076D15-FC3C-778E-E063-782F520A63DA},7.0,7B,7B09
ATE 0231,3600 BLK GEORGIA AVE NW S/B,8422,Retired,Idle,2014/10/06 04:00:00+00,,,Speed,30,,,,,151800,{27076D15-FC3D-778E-E063-782F520A63DA},,,
ATE 0233,3600 BLK SOUTH DAKOTA AVE NE NW/B,8524,Retired,Idle,2017/10/30 04:00:00+00,,,Speed,25,,,,,151801,{27076D15-FC3E-778E-E063-782F520A63DA},,,
ATE 0234,3700 BLK 13TH ST NW S/B,9432,Retired,Idle,2021/07/05 04:00:00+00,,,Speed,25,,,,,151802,{27076D15-FC3F-778E-E063-782F520A63DA},,,
ATE 0236,3700 BLK MASSACHUSETTS AVE SE NW/B,9623,Retired,Idle,2022/07/19 04:00:00+00,,,Speed,25,,,,,151803,{27076D15-FC40-778E-E063-782F520A63DA},,,
ATE 0237,3700 BLK MASSACHUSETTS AVE SE SE/B,8605,Retired,Idle,2014/11/22 05:00:00+00,,,Speed,25,,,,,151804,{27076D15-FC41-778E-E063-782F520A63DA},,,
ATE 0238,3700 BLK MINNESOTA AVE NE NE/B,1747,Active,Live,2024/03/29 04:00:00+00,,,Speed,25,38.89072,-76.9523,404138.40561303,135875.36620639,151805,{27076D15-FC42-778E-E063-782F520A63DA},7.0,7F,7F02
ATE 0239,3700 BLK MINNESOTA AVE NE SW/B,8630,Retired,Idle,2014/10/04 04:00:00+00,,,Speed,25,,,,,151806,{27076D15-FC43-778E-E063-782F520A63DA},,,
ATE 0240,3700 BLK S DAKOTA AVE NE SE/B,1411,Active,Live,2024/04/01 04:00:00+00,,,Speed,25,38.93522,-76.97538,402134.76519112,140814.44036818,151807,{27076D15-FC44-778E-E063-782F520A63DA},5.0,5B,5B07
ATE 0241,3700 BLK SOUTHERN AVE SE SW/B,1716,Active,Live,2024/03/14 04:00:00+00,,,Speed,25,38.860111,-76.951565,404203.97333958,132477.57120103,151808,{27076D15-FC45-778E-E063-782F520A63DA},7.0,7B,7B06
ATE 0243,37TH ST N/B @ TILDEN ST NW,8224,Retired,Idle,2013/12/24 05:00:00+00,,,Stop Sign,25,,,,,151809,{27076D15-FC46-778E-E063-782F520A63DA},,,
ATE 0244,37TH ST S/B @ WHITEHAVEN PKWY NW,3201,Active,Live,2023/09/01 04:00:00+00,,,Stop Sign,25,38.916814,-77.072754,393690.71243801,138773.44407094,151810,{27076D15-FC47-778E-E063-782F520A63DA},3.0,3B,3B02
ATE 0245,3900 BLK BENNING RD NE SE/B,1727,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,30,38.89451,-76.94797,404513.81549645,136296.2910644,151811,{27076D15-FC48-778E-E063-782F520A63DA},7.0,7F,7F01
ATE 0246,3900 BLK CATHEDRAL AVE NW NW/B,8230,Retired,Idle,2014/06/03 04:00:00+00,,,Speed,25,,,,,151812,{27076D15-FC49-778E-E063-782F520A63DA},,,
ATE 0309,4800 BLK BENNING RD SE SE/B,1726,Active,Live,2023/11/25 05:00:00+00,,Fixed,Speed,30,38.88273,-76.9341,405717.98896013,134989.39704462,151813,{27076D15-FC4A-778E-E063-782F520A63DA},7.0,7E,7E07
ATE 0311,4800 BLK CONNECTICUT AVE NW S/B,1311,Active,Live,2023/11/25 05:00:00+00,,Portable,Speed,25,38.953208,-77.068896,394028.34035797,142813.23439712,151814,{27076D15-FC4B-778E-E063-782F520A63DA},3.0,3F,3F04
ATE 0312,4800 BLK GEORGIA AVE NW S/B,8410,Retired,Idle,2014/11/16 05:00:00+00,,,Speed,30,,,,,151815,{27076D15-FC4C-778E-E063-782F520A63DA},,,
ATE 0313,4800 BLK S DAKOTA AVE NE NW/B,1507,Active,Live,2024/04/01 04:00:00+00,,,Speed,25,38.94743,-76.98981,400883.5182442,142169.61983919,151816,{27076D15-FC4D-778E-E063-782F520A63DA},5.0,5A,5A02
ATE 0315,4800 BLK TEXAS AVE SE N/B,9666,Retired,Idle,2014/06/23 04:00:00+00,,,Speed,25,,,,,151817,{27076D15-FC4E-778E-E063-782F520A63DA},,,
ATE 0317,4900 BLK 16TH ST NW N/B,1406,Active,Live,2024/03/28 04:00:00+00,,,Speed,25,38.95072,-77.03657,396830.2192741,142535.42521101,151818,{27076D15-FC4F-778E-E063-782F520A63DA},4.0,4E,4E06
ATE 0319,4900 BLK CONNECTICUT AVE NW SE/B,8213,Retired,Idle,2014/08/30 04:00:00+00,,,Speed,30,,,,,151819,{27076D15-FC50-778E-E063-782F520A63DA},,,
