"Date","FITLX","MKT","RF","SMB","HML","MOM","BAB","QMJ"
2023-06-16,-0.357690206322647,-0.4,0.02,-0.25,0.22,-0.53,0.26,-0.02
2023-06-20,-0.410253426340468,-0.5,0.02,0.02,-0.6,0.49,-0.57,-0.06
2023-06-21,-0.772396431121891,-0.48,0.02,0.36,0.8,0.78,0.96,0.49
2023-06-22,0.415150042523393,0.27,0.02,-0.86,-1.55,0.37,-0.48,0.5
2023-06-23,-0.87855403323206,-0.82,0.02,-0.5,0.24,0.27,0.16,0.16
2023-06-26,-0.729926713555074,-0.35,0.02,0.48,1.19,-0.64,0.82,0.33
2023-06-27,1.36554132146138,1.19,0.02,0.34,-0.89,0.4,-0.58,0.44
2023-06-28,0,0.06,0.02,0.42,-0.48,0.31,-0.35,-0.3
2023-06-29,0.362704169193284,0.5,0.02,0.67,0.68,-0.21,0.45,0.26
2023-06-30,1.13577361116037,1.16,0.02,-0.58,-0.48,0.58,-0.22,0.09
2023-07-03,0.255227932107061,0.15,0.02,0.11,0.74,-0.93,0.12,-0.18
2023-07-05,-0.101827340955452,-0.33,0.02,-0.81,-0.3,-0.15,-0.13,-0.21
2023-07-06,-0.815498253332703,-0.97,0.02,-0.52,-0.49,0.41,0.1,0.55
2023-07-07,-0.359712087539854,-0.02,0.02,1.29,1.18,-0.4,0.1,-0.21
2023-07-10,0.206290399241427,0.39,0.02,1.15,-0.32,0.24,0.38,-0.53
2023-07-11,0.669071032064661,0.77,0.02,0.27,0.48,-0.6,0.18,-0.2
2023-07-12,0.817989938396235,0.78,0.02,0.33,0.26,0.4,-0.46,-0.28
2023-07-13,1.16634217172298,0.94,0.02,-0.16,-0.14,0,-0.65,-0.17
2023-07-14,0.0501128530617789,-0.28,0.02,-0.79,-1.22,0.51,-0.3,0.39
2023-07-17,0.300603856631265,0.49,0.02,0.37,-0.52,0.74,-0.16,-0.18
2023-07-18,1.04895064453385,0.8,0.02,0.36,0.57,-0.04,-0.31,0.47
2023-07-19,0,0.25,0.02,0.09,0.73,-1.55,0.21,-0.16
2023-07-20,-1.03806188767245,-0.74,0.02,-0.19,1.03,0.26,1.69,0.35
2023-07-21,0.049956915413496,-0.01,0.02,-0.3,-0.16,-0.52,0.18,-0.15
2023-07-24,0.449329935685738,0.32,0.02,-0.18,0.61,-0.32,0.06,0.48
2023-07-25,0.397611377796592,0.25,0.02,-0.11,-0.82,0.71,-0.51,0.56
2023-07-26,0,0.03,0.02,0.51,0.87,-1.3,0.68,-0.62
2023-07-27,-0.841585132604183,-0.73,0.02,-0.75,0.49,0.9,0.1,0.42
2023-07-28,1.19820352803142,1.09,0.02,0.21,-0.28,0.06,-0.57,-0.32
2023-07-31,0,0.32,0.02,0.8,0.25,-0.3,-0.08,-0.69
2023-08-01,-0.296016049505654,-0.35,0.02,-0.22,0.03,0.69,-0.01,0.37
2023-08-02,-1.48440769442367,-1.48,0.02,-0.06,0.46,-0.18,0.92,0.43
2023-08-03,-0.100456147475247,-0.21,0.02,-0.07,0.36,-0.09,-0.16,0.29
2023-08-04,-0.402209250094832,-0.43,0.02,0.29,0.51,-0.68,-0.74,-0.13
2023-08-07,1.16103350518677,0.77,0.02,-0.77,0.51,0.57,0.12,0.36
2023-08-08,-0.399208304426302,-0.47,0.02,-0.16,0.34,0,0.27,0.48
2023-08-09,-0.801607061822074,-0.69,0.02,0.08,0.11,-0.42,0.22,0.6
2023-08-10,0.151526240947586,0.03,0.02,-0.29,-0.52,-0.25,-0.05,0.1
2023-08-11,-0.252138938276225,-0.07,0.02,0.26,0.34,-0.42,0.48,-0.21
2023-08-14,0.707775551125667,0.47,0.02,-0.65,-0.86,1.3,-0.71,0.42
2023-08-15,-0.953810753089401,-1.21,0.02,-0.06,-0.79,0.84,0.06,0.32
2023-08-16,-0.658897601816155,-0.75,0.02,-0.36,0.02,-0.32,0.29,0.31
2023-08-17,-0.714285432995676,-0.83,0.02,-0.24,0.68,-1.14,0.32,0.45
2023-08-18,-0.154163739799928,0.07,0.02,0.43,-0.19,0.33,-0.15,0.07
2023-08-21,0.926410628069707,0.61,0.02,-0.67,-0.82,0.86,-1,0.15
2023-08-22,-0.305978853363065,-0.3,0.02,0,-0.67,0.49,-0.25,-0.1
2023-08-23,1.22763234831373,1.1,0.02,-0.13,-0.35,0.74,-0.34,-0.24
2023-08-24,-1.16220679369267,-1.37,0.02,0.15,0.61,-0.5,0.58,0.22
2023-08-25,0.664624223910382,0.65,0.02,-0.23,-0.67,-0.19,-0.14,-0.11
2023-08-28,0.609441954933998,0.65,0.02,0.1,0.4,0.11,0.03,0.13
2023-08-29,1.61534376402672,1.51,0.02,-0.03,-0.4,0.23,-0.6,0.02
2023-08-30,0.347749149367638,0.43,0.02,0.03,-0.39,0.43,-0.01,-0.15
2023-08-31,-0.0990139490736786,-0.05,0.02,0.07,-0.02,0.14,-0.21,-0.05
2023-09-01,0.0495512608366999,0.33,0.02,0.68,0.41,0.32,-0.17,0.02
2023-09-05,-0.346696595511109,-0.57,0.02,-1.36,-0.84,-0.29,-0.6,-0.16
2023-09-06,-0.546727632849464,-0.66,0.02,0.11,0.07,0.63,0.33,-0.39
2023-09-07,-0.0999541165762952,-0.39,0.02,-0.75,-0.05,-0.06,0.12,-0.18
2023-09-08,0.15007636065163,0.14,0.02,-0.3,0.37,-0.04,0.2,0.14
2023-09-11,0.749257345102716,0.7,0.02,-0.56,-0.47,-0.38,-0.45,-0.62
2023-09-12,-0.694099835687989,-0.51,0.02,0.48,1.13,-0.7,0.35,0.06
2023-09-13,0.149767011431368,0.04,0.02,-0.78,-0.13,-0.03,-0.32,0.22
2023-09-14,0.797611005121457,0.91,0.02,0.4,0.76,-0.42,0.12,0.33
2023-09-15,-1.38476699050807,-1.11,0.02,0.29,0.41,-0.9,0.6,-0.49
2023-09-18,-0.150452674132495,-0.01,0.02,-0.52,-0.01,0.92,0.12,0.31
2023-09-19,-0.301349058702149,-0.28,0.02,-0.24,-0.01,-0.02,0.28,0.16
2023-09-20,-1.00756869795414,-0.88,0.02,0.13,0.33,-0.57,0.42,-0.09
2023-09-21,-1.67938451537066,-1.68,0.02,0.11,0.45,-0.24,0.34,0.33
2023-09-22,-0.310561735805792,-0.2,0.02,0.09,-0.37,0.49,-0.2,0.23
2023-09-25,0.259601009349075,0.4,0.02,-0.05,0.2,0.02,-0.37,0.41
2023-09-26,-1.39823165730938,-1.43,0.02,0.18,-0.2,-0.04,0.11,-0.09
2023-09-27,0.105036182958362,0.14,0.02,0.65,-0.1,0.81,-0.17,0.38
2023-09-28,0.682069443094568,0.66,0.02,0.22,-0.04,0.37,-0.16,0.29
2023-09-29,-0.156342840502444,-0.3,0.02,-0.04,-0.22,-0.36,-0.3,-0.09
2023-10-02,0.156587654088725,-0.27,0.02,-1.42,-1.4,1.53,-0.51,0.82
2023-10-03,-1.56332785007176,-1.43,0.02,-0.18,0.21,-0.69,0.46,0.29
2023-10-04,1.16464427993672,0.73,0.02,-0.65,-0.73,0.72,-0.34,-0.35
2023-10-05,-0.156987250377449,-0.09,0.02,0.17,0.15,-0.23,-0.17,-0.26
2023-10-06,1.31027058078108,1.2,0.02,-0.31,-0.5,0.8,-0.72,-0.01
2023-10-09,0.465601622463074,0.59,0.02,-0.05,0.21,-0.26,-0.11,0.75
2023-10-10,0.566424711916325,0.67,0.02,0.41,0.45,-0.19,-0.04,-0.32
2023-10-11,0.665645161035333,0.35,0.02,-0.47,0.07,0.77,-0.34,0.57
2023-10-12,-0.762967373216816,-0.83,0.02,-1.27,-0.1,0.17,-0.05,0.84
2023-10-13,-0.66633737672892,-0.54,0.02,-0.02,0.43,-1.1,0.57,0.03
2023-10-16,1.2384010670625,1.15,0.02,0.38,-0.09,-0.25,-0.14,-0.17
2023-10-17,0,0.12,0.02,0.98,0.51,-0.58,0.36,-0.29
2023-10-18,-1.63099650666541,-1.47,0.02,-0.59,-0.01,-0.17,0.63,0.66
2023-10-19,-1.08807251483856,-0.88,0.02,-0.42,0.04,0.02,0,0.12
2023-10-20,-1.20482305244887,-1.28,0.02,0.17,-0.1,0.07,0.43,0.25
2023-10-23,-0.0530193236097154,-0.23,0.02,-0.75,-0.38,0.99,-0.39,0.21
2023-10-24,0.795752682596795,0.68,0.02,-0.03,-0.64,0.58,0.21,-0.58
2023-10-25,-1.47369374652345,-1.48,0.02,-0.05,0.4,-1.27,0.35,0.99
2023-10-26,-1.38888402124182,-1.04,0.02,1.19,1.3,-1.48,0.73,-0.77
2023-10-27,-0.541702647247377,-0.55,0.02,-0.55,-0.56,1.65,-0.99,0.32
2023-10-30,1.14377980722633,1.14,0.02,-0.51,0.24,0.05,0.15,0.07
2023-10-31,0.592361953665965,0.61,0.02,0.06,-0.01,-0.21,0,-0.64
2023-11-01,1.12418617441181,0.99,0.02,-0.58,0,1.58,-0.6,0.17
2023-11-02,1.9587120317905,2.01,0.02,0.52,0.9,-1.33,0.29,-0.19
2023-11-03,1.14226047145571,1.15,0.02,1.35,0.23,-0.58,-0.05,-1
2023-11-06,0.256679084577294,-0.02,0.02,-1.24,-0.67,0.98,-0.03,0.57
2023-11-07,0.307222363622284,0.27,0.02,-0.5,-1.47,0.82,-0.36,-0.6
2023-11-08,0.255227932107061,-0.04,0.02,-0.8,-0.48,0.94,-0.09,0.45
2023-11-09,-0.916495194101241,-0.81,0.02,-0.55,0.37,0.66,-0.07,0.48
2023-11-10,1.59301208995937,1.46,0.02,-0.51,-0.52,1.31,-0.42,0.58
2023-11-13,0,-0.01,0.02,0.01,-0.3,0.22,-0.12,-0.24
2023-11-14,2.02327233642705,2.2,0.02,2.49,0.35,-1.11,-0.52,-1.1
2023-11-15,0.247888698347554,0.19,0.02,0.17,0.4,-1.31,0.38,-0.07
2023-11-16,0.395644984924504,-0.1,0.02,-1.29,-0.28,0.45,-0.13,-0.18
2023-11-17,-0.147775047328702,0.31,0.02,0.98,0.42,-0.33,0.16,-0.05
2023-11-20,0.838678821205918,0.72,0.02,-0.23,-0.45,0.5,-0.4,-0.04
2023-11-21,-0.0978513578870244,-0.3,0.02,-0.75,-0.25,0.19,0.16,0.17
2023-11-22,0.342801027231299,0.43,0.02,0.18,-0.01,-0.02,0,-0.24
2023-11-24,0.0976031660945287,0.15,0.02,0.53,0.2,-0.33,0.2,-0.36
2023-11-27,-0.0975079952040048,-0.2,0.02,-0.1,-0.11,0.6,-0.14,-0.08
2023-11-28,0.195215749707955,0.06,0.02,-0.36,-0.09,-0.24,-0.05,-0.23
2023-11-29,0.0487158994578296,0.05,0.02,0.57,0.27,-0.73,-0.15,-0.65
2023-11-30,0.292106098782274,0.4,0.02,-0.06,0.01,0.05,0.39,-0.18
2023-12-01,0.582520015665766,0.88,0.02,2.02,0.31,-1.19,0.17,-0.59
2023-12-04,-0.627406241560113,-0.41,0.02,1.22,0.08,-0.83,0.67,-0.42
2023-12-05,-0.0485739383342509,-0.22,0.02,-1.21,-0.83,0.97,-0.48,0.15
2023-12-06,-0.388724094592963,-0.37,0.02,0.32,0,-1.04,0.08,-0.28
2023-12-07,0.878047081569577,0.77,0.02,-0.13,0.17,0.2,-0.33,-0.03
2023-12-08,0.288635660206604,0.46,0.02,0.04,0.22,0.56,-0.18,-0.05
2023-12-11,0.341461925971798,0.37,0.02,-0.34,-0.01,-0.27,0.62,0.1
2023-12-12,0.486146732879567,0.32,0.02,-0.7,-0.91,0.71,-0.31,-0.16
2023-12-13,1.16110193629566,1.57,0.02,1.66,0.9,-1.57,0.05,-0.9
2023-12-14,0.239116391321903,0.58,0.02,1.92,1.48,-1.23,0.05,-0.37
2023-12-15,0,-0.11,0.02,-0.63,-0.59,1.03,-0.46,0.22
2023-12-18,0.524812095211646,0.42,0.02,-0.5,-0.03,0.81,-0.27,0.44
2023-12-19,0.522072197175127,0.77,0.02,1.1,0.61,-0.42,0.11,-0.34
2023-12-20,-1.36922054461196,-1.52,0.02,-0.32,0.14,0.32,0.07,0.58
2023-12-21,1.14887399775172,1.13,0.02,0.58,-0.05,-0.16,-0.36,-0.4
2023-12-22,0.1893086470236,0.25,0.02,0.53,0.07,-0.27,0.17,-0.5
2023-12-26,0.425130620045078,0.49,0.02,0.56,0.22,-0.24,-0.19,-0.31
2023-12-27,0.14111329408526,0.2,0.02,0.03,0,0.02,-0.09,-0.26
2023-12-28,0,-0.02,0.02,-0.28,0.03,-0.43,0.13,-0.22
2023-12-29,-0.187885926759968,-0.38,0.02,-0.8,-0.1,0.04,0.11,0.46
2024-01-02,-0.564709831686583,-0.69,0.02,-0.16,1.08,-1.88,0.95,0.33
2024-01-03,-0.851861831406808,-0.97,0.02,-1.6,0.42,0.39,0.1,0.41
2024-01-04,-0.190935150695104,-0.26,0.02,0.25,0.01,-0.15,0.28,-0.56
2024-01-05,0.14347530781651,0.18,0.02,-0.27,0.69,-0.25,0.01,-0.01
2024-01-08,1.6236874112534,1.44,0.02,0.21,-1.34,1,-0.77,-0.28
2024-01-09,-0.0939871105183898,-0.22,0.02,-0.62,-0.76,0.98,-0.24,0.01
2024-01-10,0.658510762658637,0.5,0.02,-0.4,-0.46,0.96,-0.25,0.13
2024-01-11,0,-0.12,0.02,-0.33,-0.62,0.81,-0.17,0.52
2024-01-12,0.140190127010698,0.04,0.02,-0.11,-0.24,0.35,-0.1,0.27
2024-01-16,-0.046664623142445,-0.48,0.02,-0.61,-0.59,0.95,-0.49,0.18
2024-01-17,-0.560228005630148,-0.6,0.02,-0.17,-0.45,0.55,-0.08,0.21
2024-01-18,0.704232541088134,0.88,0.02,-0.24,-0.34,0.87,-0.23,0.54
2024-01-19,1.30535556800839,1.2,0.02,-0.45,0.4,0.45,-0.24,-0.11
2024-01-22,0.184081529544411,0.37,0.02,1.32,0,-0.07,0.03,-0.31
2024-01-23,0.183734530719537,0.26,0.02,-0.51,-0.1,-0.49,0.17,-0.09
2024-01-24,0.0917031556782133,-0.02,0.02,-0.71,0.23,0.56,-0.3,0.25
2024-01-25,0.503896521923974,0.51,0.02,0.12,0.76,-0.3,0.56,0.14
2024-01-26,-0.0911597870411396,0.02,0.02,0.24,0.15,-0.25,0.15,0.09
2024-01-29,0.958025017069986,0.85,0.02,0.53,-0.71,0.45,-0.61,-0.62
